obu-ramp-merge-4-1     | [5.7] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=8.1 desired=10.5 leader_spd=7.55 follow_spd=6.55
obu-ramp-merge-4-1     | [5.9] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=7.6 desired=10.5 leader_spd=7.55 follow_spd=6.55
obu-ramp-merge-4-1     | [6.1] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=7.0 desired=10.5 leader_spd=7.55 follow_spd=6.55
obu-ramp-merge-4-1     | [6.3] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=6.6 desired=10.5 leader_spd=7.30 follow_spd=6.30
obu-ramp-merge-5-1     | [7.4] Ramp_Merge_5 MERGE_DECISION: eta=14.87 dist=122.0 lead=105(eta=14.76 dist=198.9) host=106(eta=18.55 dist=225.0) min_eta=16.26 max_eta=13.85 gap_possible=False ahead=False behind=False clearance=True slot=False entry_speed=True -> can_merge=False
obu-ramp-merge-5-1     | [7.6] Ramp_Merge_5 MERGE_DECISION: eta=15.66 dist=121.4 lead=105(eta=14.56 dist=196.4) host=106(eta=18.55 dist=223.7) min_eta=16.06 max_eta=13.85 gap_possible=False ahead=False behind=False clearance=True slot=False entry_speed=True -> can_merge=False
obu-ramp-merge-5-1     | [7.7] Ramp_Merge_5 MERGE_DECISION: eta=15.62 dist=121.1 lead=105(eta=14.56 dist=195.8) host=106(eta=18.35 dist=221.8) min_eta=16.06 max_eta=13.65 gap_possible=False ahead=False behind=False clearance=True slot=False entry_speed=True -> can_merge=False
obu-ramp-merge-4-1     | [6.4] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=6.3 desired=10.5 leader_spd=7.30 follow_spd=6.30
obu-ramp-merge-5-1     | [7.9] Ramp_Merge_5 MERGE_DECISION: eta=16.07 dist=120.5 lead=105(eta=14.26 dist=192.7) host=106(eta=18.25 dist=219.8) min_eta=15.76 max_eta=13.55 gap_possible=False ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-merge-5-1     | [8.1] Ramp_Merge_5 MERGE_DECISION: eta=15.99 dist=120.0 lead=105(eta=14.26 dist=191.5) host=106(eta=18.25 dist=218.6) min_eta=15.76 max_eta=13.55 gap_possible=False ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-merge-5-1     | [8.3] Ramp_Merge_5 MERGE_DECISION: eta=16.48 dist=119.5 lead=105(eta=13.76 dist=187.3) host=106(eta=17.95 dist=215.5) min_eta=15.26 max_eta=13.25 gap_possible=False ahead=True behind=False clearance=True slot=False entry_speed=True -> can_merge=False
